# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 24 09:41:31 2022
#
# User preference: *
#
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
k2_name,pl_name
K2-233 c,K2-233 c
K2-233 d,K2-233 d
K2-234 b,HD 89345 b
K2-235 b,WASP-107 b
K2-235 c,WASP-107 c
K2-236 b,EPIC 211945201 b
K2-237 b,K2-237 b
K2-238 b,K2-238 b
K2-239 b,K2-239 b
K2-239 c,K2-239 c
K2-239 d,K2-239 d
K2-24 b,K2-24 b
K2-24 c,K2-24 c
K2-240 b,K2-240 b
K2-240 c,K2-240 c
K2-241 b,K2-241 b
K2-242 b,K2-242 b
K2-243 b,K2-243 b
K2-243 c,K2-243 c
K2-244 b,K2-244 b
K2-245 b,K2-245 b
K2-246 b,K2-246 b
K2-247 b,K2-247 b
K2-247 c,K2-247 c
K2-248 b,K2-248 b
K2-249 b,K2-249 b
K2-25 b,K2-25 b
K2-250 b,K2-250 b
K2-251 b,K2-251 b
K2-252 b,K2-252 b
K2-253 b,K2-253 b
K2-254 b,K2-254 b
K2-254 c,K2-254 c
K2-255 b,K2-255 b
K2-256 b,K2-256 b
K2-257 b,K2-257 b
K2-258 b,K2-258 b
K2-259 b,K2-259 b
K2-26 b,K2-26 b
K2-260 b,K2-260 b
K2-261 b,K2-261 b
K2-262 b,Wolf 503 b
K2-263 b,K2-263 b
K2-264 b,K2-264 b
K2-264 c,K2-264 c
K2-265 b,K2-265 b
K2-266 b,K2-266 b
K2-266 c,K2-266 c
K2-266 d,K2-266 d
K2-266 e,K2-266 e
K2-267 b,EPIC 246851721 b
K2-268 b,K2-268 b
K2-268 c,K2-268 c
K2-268 d,K2-268 d
K2-268 e,K2-268 e
K2-268 f,K2-268 f
K2-269 b,K2-269 b
K2-27 b,K2-27 b
K2-270 b,K2-270 b
K2-270 c,K2-270 c
K2-271 b,K2-271 b
K2-272 b,K2-272 b
K2-273 b,K2-273 b
K2-274 b,K2-274 b
K2-275 b,K2-275 b
K2-275 c,K2-275 c
K2-276 b,K2-276 b
K2-277 b,K2-277 b
K2-278 b,K2-278 b
K2-279 b,K2-279 b
K2-28 b,K2-28 b
K2-280 b,K2-280 b
K2-281 b,K2-281 b
K2-282 b,K2-282 b
K2-282 c,EPIC 220554210 c
K2-283 b,K2-283 b
K2-284 b,K2-284 b
K2-285 b,K2-285 b
K2-285 c,K2-285 c
K2-285 d,K2-285 d
K2-285 e,K2-285 e
K2-286 b,K2-286 b
K2-287 b,K2-287 b
K2-288 B b,K2-288 B b
K2-289 b,K2-289 b
K2-29 b,K2-29 b
K2-290 b,K2-290 b
K2-290 c,K2-290 c
K2-291 b,K2-291 b
K2-292 b,K2-292 b
K2-293 b,K2-293 b
K2-294 b,K2-294 b
K2-295 b,K2-295 b
K2-296 b,EPIC 201238110 b
K2-297 b,EPIC 201497682 b
K2-298 b,EPIC 201841433 b
K2-299 b,EPIC 206024342 b
K2-299 c,EPIC 206024342 c
K2-299 d,EPIC 206024342 d
K2-3 b,K2-3 b
K2-3 c,K2-3 c
K2-3 d,K2-3 d
K2-30 b,K2-30 b
K2-300 b,EPIC 206032309 b
K2-301 b,EPIC 206042996 b
K2-301 c,EPIC 206042996 c
K2-302 b,EPIC 206215704 b
K2-303 b,EPIC 206317286 b
K2-303 c,EPIC 206317286 c
K2-304 b,EPIC 212297394 b
K2-304 c,EPIC 212297394 c
K2-305 b,EPIC 212424622 b
K2-306 b,EPIC 212499991 b
K2-307 b,EPIC 212587672 b
K2-307 c,EPIC 212587672 c
K2-308 b,K2-308 b
K2-309 b,V1298 Tau b
K2-309 c,V1298 Tau c
K2-309 d,V1298 Tau d
K2-309 e,V1298 Tau e
K2-31 b,K2-31 b
K2-310 b,EPIC 212737443 b
K2-310 c,EPIC 212737443 c
K2-311 b,EPIC 248847494 b
K2-312 b,HD 80653 b
K2-313 b,G 9-40 b
K2-314 b,EPIC 249893012 b
K2-314 c,EPIC 249893012 c
K2-314 d,EPIC 249893012 d
K2-315 b,K2-315 b
K2-316 b,K2-316 b
K2-316 c,K2-316 c
K2-317 b,K2-317 b
K2-318 b,K2-318 b
K2-319 b,K2-319 b
K2-32 b,K2-32 b
K2-32 c,K2-32 c
K2-32 d,K2-32 d
K2-32 e,K2-32 e
K2-320 b,K2-320 b
K2-321 b,K2-321 b
K2-322 b,K2-322 b
K2-323 b,K2-323 b
K2-324 b,K2-324 b
K2-325 b,K2-325 b
K2-326 b,K2-326 b
K2-327 b,EPIC 201170410.02
K2-328 b,EPIC 201757695.02
K2-329 b,K2-329 b
K2-33 b,K2-33 b
K2-330 b,K2-330 b
K2-331 b,K2-331 b
K2-331 c,K2-331 c
K2-332 b,K2-332 b
K2-333 b,K2-333 b
K2-334 b,K2-334 b
K2-335 b,K2-335 b
K2-336 b,K2-336 b
K2-337 b,K2-337 b
K2-338 b,K2-338 b
